1,1000,3.789114952087402e-05
2,2000,2.9117822647094728e-05
3,3000,6.003665924072266e-05
4,4000,3.991317749023437e-05
5,5000,4.700660705566406e-05
6,6000,3.0009984970092772e-05
7,7000,4.940938949584961e-05
8,8000,3.153228759765625e-05
9,9000,3.647327423095703e-05
10,10000,3.79173755645752e-05
11,11000,3.4668684005737305e-05
12,12000,4.402852058410645e-05
13,13000,2.825140953063965e-05
14,14000,4.1054725646972656e-05
15,15000,4.099464416503906e-05
16,16000,4.5722246170043944e-05
17,17000,3.850746154785156e-05
18,18000,4.336833953857422e-05
19,19000,3.0991554260253906e-05
20,20000,3.9381027221679685e-05
21,21000,4.8104524612426755e-05
22,22000,4.174113273620605e-05
23,23000,5.595517158508301e-05
24,24000,3.4354686737060545e-05
25,25000,3.970527648925781e-05
26,26000,4.713678359985351e-05
27,27000,5.0853967666625976e-05
28,28000,2.870655059814453e-05
29,29000,3.589916229248047e-05
30,30000,5.1451683044433594e-05
31,31000,3.335809707641601e-05
32,32000,2.649235725402832e-05
33,33000,4.542040824890137e-05
34,34000,4.542136192321777e-05
35,35000,4.9657583236694335e-05
36,36000,4.8303842544555664e-05
37,37000,4.216337203979492e-05
38,38000,3.6820888519287107e-05
39,39000,3.486943244934082e-05
40,40000,5.1807641983032226e-05
41,41000,6.110835075378418e-05
42,42000,4.591226577758789e-05
43,43000,5.024623870849609e-05
44,44000,4.570484161376953e-05
45,45000,2.4291038513183594e-05
46,46000,4.1629791259765626e-05
47,47000,5.7213544845581056e-05
48,48000,3.8432598114013674e-05
49,49000,3.125882148742676e-05
50,50000,4.666686058044434e-05
51,51000,3.558540344238281e-05
52,52000,2.114725112915039e-05
53,53000,7.801532745361329e-05
54,54000,4.308748245239258e-05
55,55000,5.076742172241211e-05
56,56000,6.0509204864501956e-05
57,57000,4.809832572937012e-05
58,58000,3.689026832580567e-05
59,59000,2.9008865356445312e-05
60,60000,6.210684776306152e-05
61,61000,4.0257692337036135e-05
62,62000,4.336810111999512e-05
63,63000,5.373644828796387e-05
64,64000,4.6813488006591796e-05
65,65000,7.739806175231933e-05
66,66000,5.264830589294434e-05
67,67000,5.695033073425293e-05
68,68000,5.8893680572509766e-05
69,69000,3.47287654876709e-05
70,70000,2.5676727294921875e-05
71,71000,6.334543228149414e-05
72,72000,4.20234203338623e-05
73,73000,3.3121585845947265e-05
74,74000,7.698845863342285e-05
75,75000,4.671621322631836e-05
76,76000,2.739739418029785e-05
77,77000,2.516603469848633e-05
78,78000,5.160284042358398e-05
79,79000,5.487942695617676e-05
80,80000,5.511975288391113e-05
81,81000,5.523514747619629e-05
82,82000,4.606342315673828e-05
83,83000,2.5853395462036132e-05
84,84000,2.2274255752563476e-05
85,85000,2.403998374938965e-05
86,86000,8.162975311279297e-05
87,87000,5.6681871414184574e-05
88,88000,4.696822166442871e-05
89,89000,6.634426116943359e-05
90,90000,4.4619321823120115e-05
91,91000,5.1215171813964847e-05
92,92000,4.6775102615356444e-05
93,93000,3.5708189010620114e-05
94,94000,5.703115463256836e-05
95,95000,4.3793678283691406e-05
96,96000,7.252979278564453e-05
97,97000,3.903436660766602e-05
98,98000,3.564333915710449e-05
99,99000,2.2658348083496094e-05
100,100000,5.296230316162109e-05
101,101000,7.064318656921386e-05
102,102000,2.9857397079467772e-05
103,103000,4.7200918197631835e-05
104,104000,4.423308372497558e-05
105,105000,6.147980690002442e-05
106,106000,3.902912139892578e-05
107,107000,3.6113500595092774e-05
108,108000,6.294035911560058e-05
109,109000,5.753946304321289e-05
110,110000,5.021262168884277e-05
111,111000,4.381012916564941e-05
112,112000,3.927350044250488e-05
113,113000,3.774785995483398e-05
114,114000,6.983518600463868e-05
115,115000,6.563806533813476e-05
116,116000,5.675721168518066e-05
117,117000,2.9349803924560548e-05
118,118000,3.4817934036254884e-05
119,119000,7.106614112854003e-05
120,120000,7.49039649963379e-05
121,121000,6.311011314392089e-05
122,122000,3.1492948532104494e-05
123,123000,4.769277572631836e-05
124,124000,4.8830270767211913e-05
125,125000,3.136587142944336e-05
126,126000,2.6738643646240236e-05
127,127000,5.131912231445312e-05
128,128000,5.408167839050293e-05
129,129000,5.4527521133422855e-05
130,130000,6.114029884338378e-05
131,131000,2.4611949920654298e-05
132,132000,6.190800666809082e-05
133,133000,3.232359886169433e-05
134,134000,3.106379508972168e-05
135,135000,5.727839469909668e-05
136,136000,5.8812618255615234e-05
137,137000,5.017256736755371e-05
138,138000,7.390499114990235e-05
139,139000,6.272506713867188e-05
140,140000,3.912949562072754e-05
141,141000,5.577635765075684e-05
142,142000,7.361960411071778e-05
143,143000,3.664922714233398e-05
144,144000,4.9532651901245116e-05
145,145000,5.333089828491211e-05
146,146000,5.6790828704833986e-05
147,147000,8.968281745910644e-05
148,148000,4.6039819717407224e-05
149,149000,6.330013275146484e-05
150,150000,5.077338218688965e-05
151,151000,4.095911979675293e-05
152,152000,4.8556089401245115e-05
153,153000,2.543044090270996e-05
154,154000,4.288029670715332e-05
155,155000,3.34467887878418e-05
156,156000,6.221437454223633e-05
157,157000,2.875375747680664e-05
158,158000,6.479668617248535e-05
159,159000,4.244709014892578e-05
160,160000,6.522655487060546e-05
161,161000,5.076241493225098e-05
162,162000,4.931926727294922e-05
163,163000,5.474972724914551e-05
164,164000,4.5070171356201174e-05
165,165000,4.322934150695801e-05
166,166000,4.935956001281738e-05
167,167000,4.129624366760254e-05
168,168000,4.975748062133789e-05
169,169000,5.917477607727051e-05
170,170000,5.630660057067871e-05
171,171000,5.379676818847656e-05
172,172000,4.460930824279785e-05
173,173000,4.17940616607666e-05
174,174000,4.158306121826172e-05
175,175000,4.664397239685059e-05
176,176000,5.178976058959961e-05
177,177000,4.827117919921875e-05
178,178000,4.724526405334473e-05
179,179000,5.566310882568359e-05
180,180000,4.821968078613281e-05
181,181000,3.9052486419677735e-05
182,182000,5.8083295822143555e-05
183,183000,4.465031623840332e-05
184,184000,5.451679229736328e-05
185,185000,4.059624671936035e-05
186,186000,5.574154853820801e-05
187,187000,4.049468040466309e-05
188,188000,4.355216026306152e-05
189,189000,4.5018672943115235e-05
190,190000,5.0789356231689456e-05
191,191000,5.109763145446777e-05
192,192000,4.734635353088379e-05
193,193000,4.78358268737793e-05
194,194000,4.9504756927490236e-05
195,195000,4.794025421142578e-05
196,196000,4.987168312072754e-05
197,197000,4.944610595703125e-05
198,198000,5.379319190979004e-05
199,199000,4.993176460266113e-05
200,200000,4.8519372940063475e-05
201,201000,4.794645309448242e-05
202,202000,6.70013427734375e-05
203,203000,5.514407157897949e-05
204,204000,5.557632446289063e-05
205,205000,5.603456497192383e-05
206,206000,3.7318706512451174e-05
207,207000,4.3915033340454104e-05
208,208000,3.311491012573242e-05
209,209000,4.1612863540649416e-05
210,210000,5.878448486328125e-05
211,211000,4.125857353210449e-05
212,212000,5.090785026550293e-05
213,213000,4.4847965240478514e-05
214,214000,4.125285148620605e-05
215,215000,5.12239933013916e-05
216,216000,4.192662239074707e-05
217,217000,4.6140670776367185e-05
218,218000,4.864668846130371e-05
219,219000,5.2530527114868166e-05
220,220000,4.933977127075195e-05
221,221000,5.464744567871094e-05
222,222000,4.7482728958129885e-05
223,223000,4.2007684707641604e-05
224,224000,3.864431381225586e-05
225,225000,4.454159736633301e-05
226,226000,4.79130744934082e-05
227,227000,4.2464256286621095e-05
228,228000,3.783869743347168e-05
229,229000,5.773282051086426e-05
230,230000,5.498313903808594e-05
231,231000,5.4870128631591796e-05
232,232000,4.1041374206542965e-05
233,233000,4.202198982238769e-05
234,234000,4.805207252502441e-05
235,235000,4.849386215209961e-05
236,236000,4.8184871673583985e-05
237,237000,4.676699638366699e-05
238,238000,4.744315147399903e-05
239,239000,5.183291435241699e-05
240,240000,4.671311378479004e-05
241,241000,5.828666687011719e-05
242,242000,6.207823753356934e-05
243,243000,4.00390625e-05
244,244000,5.739831924438477e-05
245,245000,5.330801010131836e-05
246,246000,4.8475980758666994e-05
247,247000,4.543662071228027e-05
248,248000,4.425120353698731e-05
249,249000,5.0582408905029294e-05
250,250000,3.6550283432006835e-05
251,251000,5.207133293151855e-05
252,252000,5.051398277282715e-05
253,253000,4.5908451080322266e-05
254,254000,3.381991386413574e-05
255,255000,4.6623706817626954e-05
256,256000,4.6325206756591795e-05
257,257000,4.86764907836914e-05
258,258000,5.8239221572875976e-05
259,259000,4.026913642883301e-05
260,260000,4.693317413330078e-05
261,261000,5.304408073425293e-05
262,262000,5.4465532302856444e-05
263,263000,4.2975425720214846e-05
264,264000,5.3328990936279296e-05
265,265000,5.300259590148926e-05
266,266000,4.609775543212891e-05
267,267000,5.261683464050293e-05
268,268000,4.680657386779785e-05
269,269000,3.738284111022949e-05
270,270000,4.3328285217285156e-05
271,271000,5.9850215911865235e-05
272,272000,3.687930107116699e-05
273,273000,5.293083190917969e-05
274,274000,4.320979118347168e-05
275,275000,4.445362091064453e-05
276,276000,5.2849531173706055e-05
277,277000,4.661965370178223e-05
278,278000,4.674100875854492e-05
279,279000,4.334712028503418e-05
280,280000,5.490660667419433e-05
281,281000,3.7615060806274415e-05
282,282000,6.054329872131348e-05
283,283000,3.818988800048828e-05
284,284000,3.809762001037598e-05
285,285000,5.307173728942871e-05
286,286000,3.7218093872070316e-05
287,287000,3.7863731384277347e-05
288,288000,3.803300857543945e-05
289,289000,4.008150100708008e-05
290,290000,4.1806221008300784e-05
291,291000,4.229021072387695e-05
292,292000,2.9541730880737304e-05
293,293000,4.756402969360351e-05
294,294000,4.77910041809082e-05
295,295000,4.720115661621094e-05
296,296000,4.517221450805664e-05
297,297000,3.780078887939453e-05
298,298000,3.8732051849365236e-05
299,299000,4.198074340820313e-05
300,300000,3.877782821655273e-05
