epoch,step,min,max,mean,std
1,1000,-0.05833448842167854,-0.0016392096877098083,-0.020930491387844086,0.02645299583673477
2,2000,-0.05833448842167854,-0.0016392096877098083,-0.020930491387844086,0.02645299583673477
3,3000,-0.032759636640548706,0.030879119411110878,-0.010267559438943863,0.029137244448065758
4,4000,-0.04635388031601906,0.0091134337708354,-0.014245159924030304,0.023474514484405518
5,5000,-0.0377437062561512,0.008553402498364449,-0.012254375033080578,0.019188420847058296
6,6000,0.007556939031928778,0.027440328150987625,0.015639591962099075,0.008532502688467503
7,7000,-0.017438147217035294,0.01072363555431366,-0.004743268247693777,0.011662892065942287
8,8000,-0.028242934495210648,0.014527621679008007,-0.0015864843735471368,0.01898571103811264
9,9000,-0.014345213770866394,0.022313794121146202,-0.0014908021548762918,0.016850333660840988
10,10000,-0.03636142611503601,0.019657615572214127,-0.005112131591886282,0.023324117064476013
11,11000,-0.04600601643323898,0.013059478253126144,-0.011375284753739834,0.025168120861053467
12,12000,-0.00013206183211877942,0.051050059497356415,0.02000814490020275,0.022271623834967613
13,13000,-0.0010336454724892974,0.02425173856317997,0.01309945061802864,0.010535703040659428
14,14000,-0.01143577042967081,0.042599983513355255,0.017279719933867455,0.022190259769558907
15,15000,-0.0207782294601202,0.010221612639725208,-0.007209621369838715,0.012947006151080132
16,16000,-0.009077329188585281,0.00813717395067215,0.0007309613283723593,0.007230134680867195
17,17000,0.00635974295437336,0.04871899262070656,0.020570486783981323,0.01990431174635887
18,18000,-0.012636955827474594,0.013029078021645546,0.0036800485104322433,0.011578739620745182
19,19000,-0.007734209299087524,0.03474971279501915,0.011485316790640354,0.017578236758708954
20,20000,-0.006880047265440226,0.049876753240823746,0.016109229996800423,0.02439209446310997
21,21000,-0.008430734276771545,0.019174616783857346,0.0010676392121240497,0.012808718718588352
22,22000,-0.057748787105083466,0.008903305046260357,-0.01726747676730156,0.029031231999397278
23,23000,-0.04262091964483261,-0.0012968417722731829,-0.020022744312882423,0.017091238871216774
24,24000,-0.04743706434965134,0.011852329596877098,-0.02002224139869213,0.024409357458353043
25,25000,-0.01515980064868927,0.025007305666804314,0.001375137479044497,0.017148898914456367
26,26000,-0.004221436567604542,0.034807030111551285,0.009747317060828209,0.017758797854185104
27,27000,-0.004313148558139801,0.020577900111675262,0.005590642336755991,0.010778754018247128
28,28000,-0.04039863869547844,0.030111955478787422,-0.0027198002208024263,0.02898915484547615
29,29000,-0.032797373831272125,0.006596956867724657,-0.010461700148880482,0.01650986634194851
30,30000,-0.019710645079612732,0.025024577975273132,4.513499516178854e-05,0.018632857128977776
31,31000,-0.008805165998637676,0.02114127203822136,0.008908837102353573,0.01282531302422285
32,32000,-0.005493393167853355,0.01874835044145584,0.0035044774413108826,0.010837433859705925
33,33000,-0.039387356489896774,0.012748582288622856,-0.009182121604681015,0.022073965519666672
34,34000,0.005174755118787289,0.009133737534284592,0.007688349578529596,0.0017840373329818249
35,35000,-0.01116288173943758,0.02164417877793312,0.0064037092961370945,0.013494046404957771
36,36000,-0.03570134565234184,-0.009773051366209984,-0.022393502295017242,0.01059633493423462
37,37000,-0.015663588419556618,0.0022358037531375885,-0.007134201470762491,0.007331531960517168
38,38000,-0.02741893008351326,0.004661433398723602,-0.015771137550473213,0.014495210722088814
39,39000,-0.027711011469364166,0.013554641045629978,-0.007402811199426651,0.016852885484695435
40,40000,-0.027419982478022575,-0.0038078604266047478,-0.01367166731506586,0.010023310780525208
41,41000,-0.0011702434858307242,0.02402268536388874,0.012102614156901836,0.010329357348382473
42,42000,-0.02572036348283291,0.030146898701786995,0.0075716604478657246,0.02403365634381771
43,43000,-0.01791352406144142,0.04030849039554596,0.01518299151211977,0.024428173899650574
44,44000,-0.020364083349704742,0.0037600910291075706,-0.005521473940461874,0.010604647919535637
45,45000,-0.01307763997465372,0.0027368308510631323,-0.004385292995721102,0.0065510086715221405
46,46000,-0.011243474669754505,0.030963977798819542,0.01027004700154066,0.017240863293409348
47,47000,-0.010966191068291664,0.024340413510799408,0.0013901656493544579,0.01624421961605549
48,48000,-0.003081969916820526,0.001431504264473915,-0.0013880593469366431,0.0020071843173354864
49,49000,-0.009148426353931427,0.012731248512864113,0.0049026659689843655,0.00995723344385624
50,50000,0.0005922832642681897,0.03776578605175018,0.013658146373927593,0.01706669293344021
51,51000,-0.00916185975074768,0.03553617000579834,0.007875294424593449,0.01973366178572178
52,52000,-0.009954258799552917,-0.005611760541796684,-0.007732421159744263,0.0017742605414241552
53,53000,0.007417390588670969,0.027346055954694748,0.018655503168702126,0.00833288487046957
54,54000,0.0009207615512423217,0.04035228118300438,0.01441686600446701,0.018344180658459663
55,55000,-0.01912829466164112,0.04623151570558548,0.010600092820823193,0.027007536962628365
56,56000,-0.019669029861688614,0.01306980848312378,-0.006676764693111181,0.014193270355463028
57,57000,-0.009624103084206581,0.018364284187555313,0.0007494048331864178,0.012521062977612019
58,58000,0.00021910021314397454,0.03235043212771416,0.012965704314410686,0.013932076282799244
