epoch,step,min,max,mean,std
1,1000,-0.02863798290491104,0.03638383746147156,-0.003946466837078333,0.010153216309845448
2,2000,-0.02863798290491104,0.03638383746147156,-0.003946466837078333,0.010153216309845448
3,3000,-0.05665573477745056,0.033524855971336365,-0.00454278290271759,0.0116190854460001
4,4000,-0.020714951679110527,0.014848184771835804,-0.0036334788892418146,0.0076702493242919445
5,5000,-0.013034088537096977,0.012302465736865997,-0.0022846234496682882,0.006074025761336088
6,6000,-0.03189744055271149,0.018746662884950638,0.002079096157103777,0.00847881380468607
7,7000,-0.008694397285580635,0.00828159973025322,-0.00037954520666971803,0.00367769249714911
8,8000,-0.04639039561152458,0.02311871387064457,-0.0020348697435110807,0.010251822881400585
9,9000,-0.011420715600252151,0.02477562241256237,0.0005788766429759562,0.006186566315591335
10,10000,-0.03445454314351082,0.0082160085439682,-0.002480224473401904,0.006921887397766113
11,11000,-0.013950071297585964,0.008007126860320568,-0.0026942663826048374,0.005299951881170273
12,12000,-0.009352152235805988,0.018716562539339066,0.004792055115103722,0.007025355473160744
13,13000,-0.044844817370176315,0.018094466999173164,0.0012207005638629198,0.01129255909472704
14,14000,-0.01991220936179161,0.014787629246711731,0.0034925774671137333,0.006152999587357044
15,15000,-0.011812472715973854,0.01225556805729866,-0.00018606113735586405,0.005359582602977753
16,16000,-0.0113786356523633,0.010214518755674362,0.0011939757969230413,0.003298427676782012
17,17000,-0.006874998100101948,0.019344478845596313,0.004931784234941006,0.0059664142318069935
18,18000,-0.013995081186294556,0.02420431561768055,0.0030408399179577827,0.006885769311338663
19,19000,-0.01262829452753067,0.016720885410904884,0.002611309289932251,0.005895147565752268
20,20000,-0.011340176686644554,0.016781406477093697,0.004309329204261303,0.005944990087300539
21,21000,-0.015203425660729408,0.012501616962254047,0.0002508765319362283,0.004504059441387653
22,22000,-0.024158278480172157,0.01984463259577751,-0.004841053392738104,0.007163466885685921
23,23000,-0.014637662097811699,0.007546226494014263,-0.004501607734709978,0.0061607155948877335
24,24000,-0.029164263978600502,0.012277670204639435,-0.005504162982106209,0.009103567339479923
25,25000,-0.008767008781433105,0.02430586703121662,0.0006758463568985462,0.005332066677510738
26,26000,-0.017797274515032768,0.01929287426173687,0.0022758874110877514,0.005612482316792011
27,27000,-0.008570077829062939,0.02678878977894783,0.0016856406582519412,0.005326235666871071
28,28000,-0.01499613095074892,0.014793157577514648,7.909454143373296e-05,0.005534207448363304
29,29000,-0.02394563890993595,0.024721788242459297,-0.0015529119409620762,0.00850171409547329
30,30000,-0.01585286855697632,0.023013122379779816,0.0018525838386267424,0.00547547684982419
31,31000,-0.035197045654058456,0.010548725724220276,0.0007825547363609076,0.0071402001194655895
32,32000,-0.012781244702637196,0.007520078215748072,0.001225929823704064,0.003458811203017831
33,33000,-0.0338301919400692,0.00971305463463068,-0.004341086372733116,0.006773860659450293
34,34000,-0.012071104720234871,0.009877188131213188,0.001069305231794715,0.003962706308811903
35,35000,-0.006450000684708357,0.013466168195009232,0.002647615969181061,0.004572719801217318
36,36000,-0.016023874282836914,0.01266119722276926,-0.004738206509500742,0.006369162350893021
37,37000,-0.010434755124151707,0.007336852140724659,-0.001717649633064866,0.0040526194497942924
38,38000,-0.01519971527159214,0.008878735825419426,-0.003842493984848261,0.006197666749358177
39,39000,-0.015237400308251381,0.026702024042606354,-0.000426651124143973,0.007076140958815813
40,40000,-0.014191645197570324,0.02064957655966282,-0.002356243086978793,0.0064217024482786655
41,41000,-0.016842778772115707,0.011374046094715595,0.0019682133570313454,0.006512600928544998
42,42000,-0.023531928658485413,0.02120901271700859,0.0034090743865817785,0.006954541429877281
43,43000,-0.03084966540336609,0.020000891759991646,0.002541785128414631,0.009249125607311726
44,44000,-0.009224303998053074,0.014484943822026253,-0.0011541174026206136,0.0035784058272838593
45,45000,-0.007055763620883226,0.022128703072667122,0.0002564691531006247,0.005946839228272438
46,46000,-0.026835430413484573,0.015655774623155594,0.0031319367699325085,0.006885913200676441
47,47000,-0.024753356352448463,0.017437519505620003,-0.0015127062797546387,0.007624371908605099
48,48000,-0.013047579675912857,0.006823910400271416,-0.001177581725642085,0.0032436433248221874
49,49000,-0.04200691357254982,0.01433410681784153,0.0014450200833380222,0.007398207671940327
50,50000,-0.01071263663470745,0.01293623261153698,0.003338748123496771,0.004977662116289139
51,51000,-0.012276987545192242,0.019504759460687637,0.003104737028479576,0.0050654178485274315
52,52000,-0.016379253938794136,0.0049740904942154884,-0.0033132522366940975,0.003993209917098284
53,53000,-0.008164850063621998,0.014774534851312637,0.005749239586293697,0.005655065178871155
54,54000,-0.006241146009415388,0.012983433902263641,0.003493834286928177,0.004977431148290634
55,55000,-0.01812167651951313,0.02693941444158554,0.004362459294497967,0.007226316258311272
56,56000,-0.01965971104800701,0.019409170374274254,-0.0003683654358610511,0.007088591810315847
57,57000,-0.014438953250646591,0.012133642099797726,-0.0009183011134155095,0.004828562028706074
58,58000,-0.009827258996665478,0.01492229849100113,0.0037977974861860275,0.004953498020768166
59,59000,-0.01045247446745634,0.021832656115293503,-0.0016168663278222084,0.005440172273665667
60,60000,-0.01645018346607685,0.018056942149996758,0.0007795254932716489,0.005842194426804781
61,61000,-0.01203933171927929,0.015986939892172813,0.003683888353407383,0.006544291507452726
62,62000,-0.020461339503526688,0.015636544674634933,-0.00217976002022624,0.006353601347655058
63,63000,-0.015081019140779972,0.031726665794849396,0.0035091773606836796,0.0086681442335248
64,64000,-0.015074552036821842,0.01447215210646391,0.001402010559104383,0.007100735325366259
65,65000,-0.0096412543207407,0.008454983122646809,-0.0003013878595083952,0.0041942172683775425
66,66000,-0.013696875423192978,0.016005950048565865,-2.3756962036713958e-05,0.00578458933159709
67,67000,-0.010860723443329334,0.01482042670249939,0.0035421871580183506,0.007368098013103008
68,68000,-0.013037718832492828,0.011721442453563213,0.0009255425538867712,0.004393826704472303
69,69000,-0.020558036863803864,0.011895339004695415,-0.0042161112651228905,0.005950847640633583
70,70000,-0.02034323289990425,0.014482125639915466,-0.0003271451860200614,0.006444938015192747
71,71000,-0.026141081005334854,0.01688423380255699,-0.003267103573307395,0.00767199881374836
72,72000,-0.028512749820947647,0.013501027598977089,-0.002513778628781438,0.005370669532567263
73,73000,-0.013415083289146423,0.012435372918844223,0.0009862612932920456,0.006075701210647821
74,74000,-0.016479630023241043,0.019492747262120247,0.0002822991518769413,0.006299830041825771
75,75000,-0.019796069711446762,0.0146412942558527,-0.0027867883909493685,0.00651366775855422
76,76000,-0.008599711582064629,0.014875057153403759,0.004275302402675152,0.005529572255909443
77,77000,-0.01162029430270195,0.014000373892486095,0.0021874450612813234,0.004567595664411783
78,78000,-0.021450553089380264,0.013087368570268154,-0.0033804147969931364,0.007650485262274742
79,79000,-0.010713453404605389,0.009121408686041832,0.0014896997017785907,0.004984854254871607
80,80000,-0.017569132149219513,0.015763118863105774,-0.001144706504419446,0.00576114933937788
81,81000,-0.009952489286661148,0.013426277786493301,0.003984987735748291,0.005712924525141716
82,82000,-0.018868155777454376,0.016757100820541382,0.0020306662190705538,0.006680294871330261
83,83000,-0.016470951959490776,0.019525084644556046,-0.002446382539346814,0.006036568898707628
84,84000,-0.019735228270292282,0.009803940542042255,-0.003593164961785078,0.004841773770749569
85,85000,-0.009678106755018234,0.010673572309315205,0.002873504301533103,0.00456000491976738
86,86000,-0.01562538743019104,0.0083821602165699,-0.0033280400093644857,0.005143956281244755
87,87000,-0.011887617409229279,0.012112155556678772,-0.0021074004471302032,0.005667147692292929
88,88000,-0.011649311520159245,0.011012344621121883,-0.0032347403466701508,0.004853002727031708
89,89000,-0.02415798418223858,0.028131114318966866,0.0025511295534670353,0.007725312374532223
90,90000,-0.013020818121731281,0.015071037225425243,-0.004751061089336872,0.0052493903785943985
91,91000,-0.02543255314230919,0.02284936048090458,0.0017271873075515032,0.006424393970519304
92,92000,-0.01160511001944542,0.01778714917600155,0.0028183357790112495,0.005933778360486031
93,93000,-0.005820185877382755,0.011034853756427765,0.0027278014458715916,0.004318359307944775
94,94000,-0.00898928102105856,0.023686977103352547,-0.001980921719223261,0.00646705599501729
95,95000,-0.012218166142702103,0.009433921426534653,1.712168159428984e-05,0.003943111281841993
96,96000,-0.01549946703016758,0.02027050592005253,0.0008306505042128265,0.004492712672799826
97,97000,-0.015323325991630554,0.02110072411596775,0.0009983319323509932,0.007975710555911064
98,98000,-0.02033429779112339,0.00820231158286333,-0.003035406582057476,0.004734998568892479
99,99000,-0.008018702268600464,0.008353419601917267,-0.0007037022151052952,0.0029095399659126997
100,100000,-0.02110590599477291,0.007162784691900015,-0.002334339078515768,0.004585105925798416
101,101000,-0.009530317038297653,0.004872282966971397,-0.0031178081408143044,0.004166816361248493
102,102000,-0.016069870442152023,0.009105414152145386,-0.0019256062805652618,0.00461302325129509
103,103000,-0.00811928603798151,0.011629484593868256,-0.0019752064254134893,0.004584289155900478
104,104000,-0.01563696563243866,0.008213046006858349,-0.0030964596662670374,0.005212001036852598
105,105000,-0.012719234451651573,0.011477703228592873,-0.0007584497798234224,0.0035251614172011614
106,106000,-0.011823312379419804,0.015164435841143131,-0.0008048730669543147,0.005736204329878092
107,107000,-0.016622185707092285,0.0071446592919528484,-0.0012548225931823254,0.0045579224824905396
108,108000,-0.011916030198335648,0.0044122119434177876,-0.004191012587398291,0.004339444916695356
109,109000,-0.027048222720623016,0.01982702501118183,0.0008195138070732355,0.008849991485476494
110,110000,-0.011007953435182571,0.0095683503895998,-0.0030435381922870874,0.004979184828698635
111,111000,-0.014753542840480804,0.008496752008795738,-0.00458909897133708,0.004585727117955685
112,112000,-0.020192552357912064,0.024249229580163956,0.003678729059174657,0.0073186131194233894
