,model_name,average_reward,conversion_rate,average_round
0,Random Strategy,-0.22169999999999981,0.2666,3.2475
1,Ensemble Model,0.9580000000000001,0.42,5.510000228881836
2,Gemini 2.5 Flash,0.5675675675675678,0.3918918918918919,5.621621621621622
